name,timestamp,value,pod,resource,container,cluster,job,instance,namespace,unit,__replica__,node
kube_pod_container_resource_requests,1737444600,0.5,clickhouse-operator-56576cdb74-dkv6z,cpu,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737444900,0.5,clickhouse-operator-56576cdb74-dkv6z,cpu,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737445200,0.5,clickhouse-operator-56576cdb74-dkv6z,cpu,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737445500,0.5,clickhouse-operator-56576cdb74-dkv6z,cpu,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737444600,536870912.0,clickhouse-operator-56576cdb74-dkv6z,memory,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,byte,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737444900,536870912.0,clickhouse-operator-56576cdb74-dkv6z,memory,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,byte,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737445200,536870912.0,clickhouse-operator-56576cdb74-dkv6z,memory,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,byte,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737445500,536870912.0,clickhouse-operator-56576cdb74-dkv6z,memory,altinity-clickhouse-operator,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,clickhouse,byte,prd-ti-o11y-eks-use1-ob3,ip-172-16-53-231.ec2.internal
kube_pod_container_resource_requests,1737444600,0.025,aws-node-65d5q,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-19.ec2.internal
kube_pod_container_resource_requests,1737444900,0.025,aws-node-65d5q,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-19.ec2.internal
kube_pod_container_resource_requests,1737445200,0.025,aws-node-65d5q,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-19.ec2.internal
kube_pod_container_resource_requests,1737445500,0.025,aws-node-65d5q,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-19.ec2.internal
kube_pod_container_resource_requests,1737444600,0.025,aws-node-5l8qb,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-235.ec2.internal
kube_pod_container_resource_requests,1737444900,0.025,aws-node-5l8qb,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-235.ec2.internal
kube_pod_container_resource_requests,1737445200,0.025,aws-node-5l8qb,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-235.ec2.internal
kube_pod_container_resource_requests,1737445500,0.025,aws-node-5l8qb,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-235.ec2.internal
kube_pod_container_resource_requests,1737444600,0.025,aws-node-7nvgk,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-70.ec2.internal
kube_pod_container_resource_requests,1737444900,0.025,aws-node-7nvgk,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-70.ec2.internal
kube_pod_container_resource_requests,1737445200,0.025,aws-node-7nvgk,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-70.ec2.internal
kube_pod_container_resource_requests,1737445500,0.025,aws-node-7nvgk,cpu,aws-eks-nodeagent,prd-ti-o11y-eks-use1-ob3,kube-state-metrics,o11y-kube-state-metrics:8080,kube-system,core,prd-ti-o11y-eks-use1-ob3,ip-172-16-16-70.ec2.internal
