name,timestamp,value,capacity_type,kubernetes_pod_instance,cluster,arch,instance,job,namespace,nodepool,owner,instance_type,zone,phase,__replica__,node,name.1
karpenter_pods_state,1737444600,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1e,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-209-35.ec2.internal,aws-node-fntmn
karpenter_pods_state,1737444900,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1e,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-209-35.ec2.internal,aws-node-fntmn
karpenter_pods_state,1737445200,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1e,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-209-35.ec2.internal,aws-node-fntmn
karpenter_pods_state,1737445500,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1e,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-209-35.ec2.internal,aws-node-fntmn
karpenter_pods_state,1737444600,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1c,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-228-59.ec2.internal,aws-node-h8kwr
karpenter_pods_state,1737444900,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1c,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-228-59.ec2.internal,aws-node-h8kwr
karpenter_pods_state,1737445200,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1c,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-228-59.ec2.internal,aws-node-h8kwr
karpenter_pods_state,1737445500,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1c,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-228-59.ec2.internal,aws-node-h8kwr
karpenter_pods_state,1737444600,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1c,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-47-200.ec2.internal,aws-node-vtfsh
karpenter_pods_state,1737444900,1,on-demand,karpenter,prd-ti-o11y-eks-use1-ob3,amd64,172.16.223.182:8080,karpenter-metrics,kube-system,default,/apis/apps/v1/namespaces/kube-system/daemonsets/aws-node,c6a.2xlarge,us-east-1c,Running,prd-ti-o11y-eks-use1-ob3,ip-172-16-47-200.ec2.internal,aws-node-vtfsh
